Product Name,Category,Type,Description,Condition,Place Name,Region,Geo Position,ICBM,Post ID,Posted Date,Label,ID,Actual Class,
Whirlpool Dryer,Appliance,NonTV,"Used Whirlpool dryer for sale, great condition!!!

Model number
WED5620HW1

Unit runs, but does not heat…

Including 6ft dryer cord

Asking $200 OBO",good,Fishers,US-IN,39.955900;-85.960100,"39.955900, -85.960100",7691236162,2023-11-25T14:48:15-0500,Craigslist,23,0,
Washer and dryer,Appliance,NonTV,Washer and dryer great condition,excellent,Indianapolis,US-IN,39.832600;-86.083600,"39.832600, -86.083600",7691154444,2023-11-25T11:34:48-0500,Craigslist,24,0,
Kegerator equipment,Appliance,NonTV,New CO2 tank with new regulator. Tap tower hoses and keg connections. All new never used .,Not specified,Plainfield,US-IN,39.689300;-86.391900,"39.689300, -86.391900",7691125202,2023-11-25T10:13:39-0500,Craigslist,25,0,
"new on box kitchenaid 30"" convertible range hood stainless steel",Appliance,NonTV,"60 day warranty works perfect nice and clean delivery available

New on box",new,Indianapolis,US-IN,39.779300;-86.138300,"39.779300, -86.138300",7690984970,2023-11-24T18:05:37-0500,Craigslist,26,0,
CARPET STEAM CLEANER,Appliance,NonTV,HOOVER HEATED CARPET CLEANER,excellent,Whitestown,US-IN,40.000000;-86.350700,"40.000000, -86.350700",7684899846,2023-11-06T20:08:22-0500,Craigslist,27,0,
whirlpool new washer use dryer stainless steel color 2022 model,Appliance,NonTV,60 day warranty works perfect nice and clean delivery available,new,Indianapolis,US-IN,39.779300;-86.138300,"39.779300, -86.138300",7690969895,2023-11-24T17:17:53-0500,Craigslist,28,0,
new open box whirlpool stainless steel French door refrigerator 2023 moel,Appliance,NonTV,60 day warranty works perfect nice and clean delivery available,new,Indianapolis,US-IN,39.779300;-86.138300,"39.779300, -86.138300",7690968935,2023-11-24T17:15:07-0500,Craigslist,29,0,
Server Supreme Topping Warmer with Pump,Appliance,NonTV,"Gently used - works great.

MSRP (new): $1,100

This topping warmer works great for nacho cheese or hot fudge, and it’s sturdy, stainless construction ensures longevity and easy clean-up.

Keep your concessions moving and food costs under control with portioned toppings. Quickly heats to serving temperature and dispenses from a #10 can, 3 quart jar (included) or new packaging in a 48 oz pouch with center fitment (requires Can2Pouch™ Conversion Kit 81184).

Includes magnetic cheese sauce graphic.

Tags: Concessions, concession stand, nacho, sundae, chocolate sauce, hot fudge, food service, commercial kitchen",excellent,Indianapolis,US-IN,39.883600;-86.066100,"39.883600, -86.066100",7690866378,2023-11-24T12:53:31-0500,Craigslist,30,0,
Bunn Bunn-O-Matic STF-15 Commercial Coffee Maker with 3 Warmers,Appliance,NonTV,"Gently used Bunn STF-15 Commercial coffee maker with two carafes and three warming burners.



BUNN STF-15 Automatic Coffee Brewer with 2 upper and 1 lower warmer.

Attaches directly to a waterline. May also be used as a pour over unit.

Electrical: 120V, 15amps, single phase, 60Hz, 1800watts",good,Indianapolis,US-IN,39.883500;-86.050600,"39.883500, -86.050600",7690865381,2023-11-24T12:51:08-0500,Craigslist,31,0,
"New 3 Pc. 4-Burner Grill / Outdoor Kitchen, Natural Gas (also propane)",Appliance,NonTV,"Seller has these outdoor kitchen style grills for use with both natural gas and propane. (Though the propane one is slightly more costly as it has a griddle iron on the end in place of the burner.)

Sam’s Club price is $2299-$2399 for them as shown in the last picture, not including the extra 7% for tax.

These are all new, never used and were floor displays in stores last fall.

Seller has one with slight blemishes, a chip or two in the top piece or in the stone in which an agreeable discount is negotiable.

Includes all of the following copied from the
Sam’s Club website:

Assembled Grill Dimensions:
86"" wide x 25"" deep x 47"" tall
Total cooking area: 765 sq. inch (Cook approximately 32 burgers)
High-grade #304 stainless with cast aluminum end cap firebox
Rotisserie kit with electrical drive motor that turns the metal stick included
Main burner: 40,000BTU
Infrared rear Burner: LP: 12,000 BTU
Side Burner: LP: 12,000 BTU (Quick connector)
Tilt-out trash bin
Grill cover included
Electronic ignition
Full-width drip tray keeps cooking area clean
Weather-resistant slab sintered stone countertop (minimum maintenance required)
Stone Style: 4-sided faux stacked rock stone panels
Drawer storage for cooking utensils and accessories.

Pickup preferred but delivery available for $150 within 40 minutes of the Castleton Area of Indianapolis.",new,Indianapolis,US-IN,39.904800;-86.067300,"39.904800, -86.067300",7681690397,2023-10-28T14:13:32-0400,Craigslist,32,0,
"Reznor 165,000 BTU Shop Heater",Appliance,NonTV,"Jets have been converted to propane, but the gas valve has not. I still have the natural gas jets that go with it. I've decided to go a different route so won't need it. I bought it last year and hung it up but never plumbed or wired it. Currently set up for top exhaust but easily converted to rear exhaust.",good,Brooklyn,US-IN,39.537225;-86.316902,"39.537225, -86.316902",7690718022,2023-11-23T21:30:38-0500,Craigslist,33,0,
touchscreen hp laptop,Appliance,NonTV,"white hp touchscreen laptop, only used for one semester of school no longer needed.
no charger, any hp charger will work",like new,Beech Grove,US-IN,39.712000;-86.082400,"39.712000, -86.082400",7690708852,2023-11-23T20:19:07-0500,Craigslist,34,0,
Low Temp Commercial Dishwasher,Appliance,NonTV,ADS low temp commercial dishwasher.very clean.runs great.nice condition.easy to install. 110 volt.phone Doug two 6 zero 7 one 0 seven 5 five 4,Not specified,Fort Wayne,US-IN,41.095397;-85.118541,"41.095397, -85.118541",7681892868,2023-10-29T09:50:23-0400,Craigslist,35,0,
Oven- Laboratory autoclave,Appliance,NonTV,"Despatch LBB 1-23-2 industrial autoclave oven. Can be used to sterilize equipment, cure cerakote, aneal metal or plastics and you could even bake pizza in it if you really wanted too. Asking $500.00 OBO",excellent,Atlanta,US-IN,40.210300;-86.019000,"40.210300, -86.019000",7690494357,2023-11-22T21:18:11-0500,Craigslist,36,0,
Samsung fridge door panels/ draws/ shelves,Appliance,NonTV,"Free
I have a broke Samsung fridge but the exterior door panels are in good shape and most interior shelves and drawers. So if you have a cosmetically damage fridge you could swap out doors. Or if you need shelves and drawers to fix yours
One small dent on right door
Free if you can use all or part
See pics for model

Delivery maybe possible",Samsung,Indianapolis,US-IN,39.957327;-86.113243,"39.957327, -86.113243",7690377659,2023-11-22T14:31:22-0500,Craigslist,37,0,
Lg Red Set,Appliance,NonTV,"30 day warranty
Red Lg Set
4051 Carson Ave Indianapolis In",Not specified,Fishers,US-IN,39.959700;-86.010900,"39.959700, -86.010900",7690360555,2023-11-22T13:49:07-0500,Craigslist,38,0,
Samsung Black stainless,Appliance,NonTV,"30 day warranty
samsung black stainless steel
4051 Carson Ave Indianapolis In",Not specified,Carmel,US-IN,39.968900;-86.126700,"39.968900, -86.126700",7690359996,2023-11-22T13:47:35-0500,Craigslist,39,0,
Lg White Square Door,Appliance,NonTV,"30 day warranty
Lg white square door steam dryer electric
all works and been test with clothes and water
4051 S Carson Ave Indianapolis In",Not specified,Zionsville,US-IN,39.947600;-86.311500,"39.947600, -86.311500",7690359212,2023-11-22T13:45:40-0500,Craigslist,40,0,
Whirlpool Clothes Washer and Amana Dryer,Appliance,NonTV,"$300 OR BEST OFFER.

Whirlpool Washer and Amana Dryer bought a year ago from a local used appliance store. Both full size and in perfect working condition. only selling because of a move to an apartment. 300 for the pair or best offer. $175 if sold separately",excellent,Indianapolis,US-IN,39.785100;-86.159500,"39.785100, -86.159500",7690331047,2023-11-22T12:39:39-0500,Craigslist,41,0,
vertical frezzer and two mini fridge,Appliance,NonTV,"All 3 works good
First come first serve
Just upgraded mines
Used still working",good,Indianapolis,US-IN,39.818400;-86.092700,"39.818400, -86.092700",7690284099,2023-11-22T10:50:09-0500,Craigslist,42,0,
Furnace New and Used,Appliance,NonTV,I have 2 separate Furnaces for sale… text me for more details,new,Indianapolis,US-IN,39.901100;-86.039200,"39.901100, -86.039200",7690222022,2023-11-22T06:24:37-0500,Craigslist,43,0,
Washer & Dryer,Appliance,NonTV,Good condition. Both work as they should. $175 for the pair.,good,Indianapolis,US-IN,39.763396;-86.068268,"39.763396, -86.068268",7690060994,2023-11-21T15:18:00-0500,Craigslist,44,0,
Roaster,Appliance,NonTV,"Great working vintage 1940-50’s? Roaster
In great condition",Not specified,Fishers,US-IN,39.964956;-85.908537,"39.964956, -85.908537",7689912724,2023-11-21T09:35:30-0500,Craigslist,45,0,
Hotpoint Washing Machine,Appliance,NonTV,Hotpoint washer. Approx. 6 yrs old. In good cond. 3.6 cubic feet capacity. $250 obo. Cash in hand. No shipping or PayPal or scammers. Call show contact info . No calls after 9pm. Thanks,Not specified,Greenwood,US-IN,39.596000;-86.130900,"39.596000, -86.130900",7683036051,2023-11-01T15:25:35-0400,Craigslist,46,0,
Brand new Whirlpool appliances,Appliance,NonTV,"Fellas, get your wife those brand new appliances she wanted for the holidays and save a little cash with this whirlpool gas 5-burner cooktop and built-in microwave. I will let you have them together for $900, or separately ($600 for cooktop, $400 for microwave.) The box of the cooktop has never been opened, the microwave box is opened but still in the box.",Whirlpool,Indianapolis,US-IN,39.872600;-86.276800,"39.872600, -86.276800",7689788823,2023-11-20T19:08:16-0500,Craigslist,47,0,
Kohler Stages Workstation Undermount Sink,Appliance,NonTV,"Brand new in box. No damage, all accessories included.
Cash on pickup only.",new,Avon,US-IN,39.762900;-86.399600,"39.762900, -86.399600",7689667670,2023-11-20T13:48:05-0500,Craigslist,48,0,
Samsung Dryer,Appliance,NonTV,"Samsung electric dryer available for $305; the original price of this dryer was $600, but only asking for $305. This dryer is like new; unlike many other postings, this dryer has not been altered or refurbished. The dryer is only 9 months old and is like new. You can get both the washer and dryer for a discounted price of only $600 if they are both available when you buy it.",like new,Avon,US-IN,39.762900;-86.399600,"39.762900, -86.399600",7689609847,2023-11-20T11:48:51-0500,Craigslist,49,0,
Samsung Washing Machine,Appliance,NonTV,"Samsung washing machine (electric and electronic) available that is in fantastic condition, like new, and is only 9 months old. Unlike other postings, this washer has NOT been refurbished or altered and is like new. The original purchase price for the machine was $600.00. The washer alone is $305, but if you want the dryer as well, you can get a discounted price for both for only $600 (if it is available).",like new,Avon,US-IN,39.762900;-86.399600,"39.762900, -86.399600",7689601856,2023-11-20T11:31:24-0500,Craigslist,50,0,
"Appliances, affordable",Appliance,NonTV,Come get em before they go!,Not specified,Beech Grove,US-IN,39.673000;-86.075700,"39.673000, -86.075700",7689504200,2023-11-20T03:38:49-0500,Craigslist,51,0,
LP GE gas range stove oven propane,Appliance,NonTV,"This is a great working General Electric LP gas stove everything works as it should. Dimensions 30"" x 26"" x 36"". Needs cleaned. Includes ($40) flex connection pipe. See pics of it working. Please call 10am to 10pm 765 38six 2zero2zero messages will be returned. Pick up only $250.00.",good,coatesville,US-IN,39.718441;-86.710013,"39.718441, -86.710013",7689460521,2023-11-19T21:07:34-0500,Craigslist,52,0,
Dishwasher and salt softner,Appliance,NonTV,I have a dish washer and a salt softener on my front yard. Please pick up. If u are interested send an email. Only serious inquiries. Txs,Not specified,Fishers,US-IN,39.957500;-86.023000,"39.957500, -86.023000",7689436760,2023-11-19T19:16:58-0500,Craigslist,53,0,
Dyson stick vac needs new battery,Appliance,NonTV,"Dyson stick vacuum, works but needs new battery. $20.",Not specified,Greenwood,US-IN,39.596000;-86.130900,"39.596000, -86.130900",7689389440,2023-11-19T16:25:25-0500,Craigslist,54,0,
Washer pedestal,Appliance,NonTV,"White washer pedestal with storage drawer. Measures 27"" width x 14 1/4"" height x 27"" depth. Was used
under a Whirlpool frontload washer but with it's standard size would fit under any washer or dryer brand.
In excellent condition.",excellent,Danville,US-IN,39.762800;-86.534300,"39.762800, -86.534300",7689356126,2023-11-19T14:42:23-0500,Craigslist,55,0,
Nearly new microwave,Appliance,NonTV,"Nearly new Whirlpool Microwave. Bought new in March for $120. Moving and new place has a microwave, so we don’t need this one.

900-watt
Countertop model (not for install above stove)",like new,Elizabethtown,US-IN,39.124300;-85.815300,"39.124300, -85.815300",7689243864,2023-11-19T08:37:46-0500,Craigslist,56,0,
1.8 CF mini fridge,Appliance,NonTV,Magic chef 2.8 cubic foot mini fridge. White. Works great. Any questions feel free to ask.,Not specified,Indianapolis,US-IN,39.823110;-86.034451,"39.823110, -86.034451",7689179093,2023-11-18T21:26:54-0500,Craigslist,57,0,
Vintage VitaMix Mixer Super 3600 Juicer Blender Mean/Grain Grinder EUC,Appliance,NonTV,"Vintage VitaMix Mixer Super 3600 Action Dome Spigot Juicer Blender

Functions:
Blender
Meat Grinder
Grain Grinder Mill
Bread dough maker
Juicer

$150 cash obo

Happy to send a vid of it working. Pick up at the Hardees at E. Washington St and the 65/70 overpass",excellent,Indianapolis,US-IN,39.766807;-86.141009,"39.766807, -86.141009",7678932065,2023-10-20T15:36:08-0400,Craigslist,58,0,
Frigidaire refrigerator,Appliance,NonTV,"Stainless and black, 20.5 cubit Frigidaire refrigerator, used 2 years, like new, very clean, with ice maker. Can put gallon milk in door.",like new,Shelbyville,US-IN,39.529300;-85.745100,"39.529300, -85.745100",7688860204,2023-11-17T22:47:37-0500,Craigslist,59,0,
Samsung RS22HDHPNSR,Appliance,NonTV,"I have a used Samsung 22 cu ft RS22HDHPNSR refrigerator. This is a very nice fridge if you can figure out the issue. The cooling in the fridge goes in and out. Freezer works fine. It does not get warm but sometimes doesn't stay cool enough. I was going to see if I could fix it but have to many other projects to do. I have all the shelving and baskets, I took them out for transport. three one seven, eight 0 nine, three 9 9 four please leave message if no answer. Matt",good,Kokomo,US-IN,40.498800;-86.145300,"40.498800, -86.145300",7688772268,2023-11-17T17:02:22-0500,Craigslist,60,0,
Frigidaire FFTR184TWB,Appliance,NonTV,"I have a lightly used Frigidaire FFTR184TWB fridge. It does not have an ice maker. This was used in a small warehouse mainly for drinks. Works great! three one seven, eight o nine, three nine nine four Matt",like new,kokomo,US-IN,40.498800;-86.145300,"40.498800, -86.145300",7688760931,2023-11-17T16:31:22-0500,Craigslist,61,0,
Kenmore washer. Electric,Appliance,NonTV,"Available my appointment at our shop or we will trade for computers electronics game systems what have you feel free to give us a text show contact info
available by appointment at our shop not available in the evening times",Not specified,Indianapolis,US-IN,39.832600;-86.083600,"39.832600, -86.083600",7688603015,2023-11-17T10:48:02-0500,Craigslist,62,0,
Dryer electric work great has warranty warranty,Appliance,NonTV,575 e hanna av Indianapolis in 46227 Molina appliances open Monday to Saturday 10am to 6pm,excellent,Indianapolis,US-IN,39.678900;-86.130200,"39.678900, -86.130200",7680986096,2023-10-26T14:03:25-0400,Craigslist,63,0,
Washer and dryer electric ultra capacity work great has warranty warra,Appliance,NonTV,575 e hanna av Indianapolis in 46227 Molina appliances open Monday to Saturday 10am to 6pm,like new,Indianapolis,US-IN,39.678900;-86.130200,"39.678900, -86.130200",7680986914,2023-10-26T14:05:16-0400,Craigslist,64,0,
Stove gas stainless steel double oven 5 burner,Appliance,NonTV,Molina appliances open Monday to Saturday 10am to 6pm Sunday 10am to 2pm 575 e hanna av indianapolis in 46227,like new,Indianapolis,US-IN,39.678900;-86.130200,"39.678900, -86.130200",7688580358,2023-11-17T09:50:05-0500,Craigslist,65,0,
Kenmore Eletric Stove (Pickup Only),Appliance,NonTV,"Bought a new induction top stove. No longer need this one and selling it. Everything works fine. Bottom storage rack works but is slightly cosmetically damaged

No delivery, pickup only in Columbus, IN.

Cash only.",good,Columbus,US-IN,39.230100;-85.885500,"39.230100, -85.885500",7688445650,2023-11-16T18:48:52-0500,Craigslist,66,0,
Kenmore dishwasher - Black (Pickup only),Appliance,NonTV,"Bought a new dishwasher, no longer need this one. It works well. Bought and installed a new drain pump on it about a year ago.

Questions about availability and condition will be ignored.

Pick up in Columbus, IN only.

Cash only.",kenmore,Columbus,US-IN,39.230100;-85.885500,"39.230100, -85.885500",7688445486,2023-11-16T18:48:20-0500,Craigslist,67,0,
